0.002500 0.002500 -5.50163044e-02
0.007500 0.002500 -6.10012482e-02
0.012500 0.002500 -7.38139684e-02
0.017500 0.002500 -9.13969857e-02
0.022500 0.002500 -1.11243901e-01
0.027500 0.002500 -1.30801814e-01
0.032500 0.002500 -1.47840336e-01
0.037500 0.002500 -1.60725262e-01
0.042500 0.002500 -1.68549045e-01
0.047500 0.002500 -1.71120659e-01
0.052500 0.002500 -1.68859087e-01
0.057500 0.002500 -1.62608570e-01
0.062500 0.002500 -1.53444981e-01
0.067500 0.002500 -1.42494441e-01
0.072500 0.002500 -1.30801512e-01
0.077500 0.002500 -1.19236617e-01
0.082500 0.002500 -1.08455007e-01
0.087500 0.002500 -9.88884064e-02
0.092500 0.002500 -9.07624464e-02
0.097500 0.002500 -8.41256964e-02
0.102500 0.002500 -7.88863828e-02
0.107500 0.002500 -7.48465725e-02
0.112500 0.002500 -7.17362760e-02
0.117500 0.002500 -6.92410368e-02
0.122500 0.002500 -6.70281667e-02
0.127500 0.002500 -6.47671455e-02
0.132500 0.002500 -6.21494067e-02
0.137500 0.002500 -5.89001054e-02
0.142500 0.002500 -5.47949417e-02
0.147500 0.002500 -4.96647283e-02
0.152500 0.002500 -4.34050551e-02
0.157500 0.002500 -3.59748454e-02
0.162500 0.002500 -2.73964755e-02
0.167500 0.002500 -1.77465037e-02
0.172500 0.002500 -7.14781226e-03
0.177500 0.002500 4.24354230e-03
0.182500 0.002500 1.62517603e-02
0.187500 0.002500 2.86960899e-02
0.192500 0.002500 4.14022245e-02
0.197500 0.002500 5.42141159e-02
0.202500 0.002500 6.70014796e-02
0.207500 0.002500 7.96679138e-02
0.212500 0.002500 9.21502995e-02
0.217500 0.002500 1.04423865e-01
0.222500 0.002500 1.16498248e-01
0.227500 0.002500 1.28417723e-01
0.232500 0.002500 1.40258699e-01
0.237500 0.002500 1.52126582e-01
0.242500 0.002500 1.64153152e-01
0.247500 0.002500 1.76496516e-01
0.252500 0.002500 1.89336222e-01
0.257500 0.002500 2.02876464e-01
0.262500 0.002500 2.17342299e-01
0.267500 0.002500 2.32982265e-01
0.272500 0.002500 2.50068262e-01
0.277500 0.002500 2.68897747e-01
0.282500 0.002500 2.89795295e-01
0.287500 0.002500 3.13115739e-01
0.292500 0.002500 3.39246422e-01
0.297500 0.002500 3.68611401e-01
0.302500 0.002500 4.01673775e-01
0.307500 0.002500 4.38941401e-01
0.312500 0.002500 4.80969223e-01
0.317500 0.002500 5.28364927e-01
0.322500 0.002500 5.81790636e-01
0.327500 0.002500 6.41967845e-01
0.332500 0.002500 7.09678095e-01
0.337500 0.002500 7.85763206e-01
0.342500 0.002500 8.71120222e-01
0.347500 0.002500 9.66695579e-01
0.352500 0.002500 1.07347012e+00
0.357500 0.002500 1.19243544e+00
0.362500 0.002500 1.32456119e+00
0.367500 0.002500 1.47074388e+00
0.372500 0.002500 1.63173899e+00
0.377500 0.002500 1.80806926e+00
0.382500 0.002500 1.99990207e+00
0.387500 0.002500 2.20689684e+00
0.392500 0.002500 2.42801626e+00
0.397500 0.002500 2.66130415e+00
0.402500 0.002500 2.90363410e+00
0.407500 0.002500 3.15045171e+00
0.412500 0.002500 3.39552907e+00
0.417500 0.002500 3.63078605e+00
0.422500 0.002500 3.84623472e+00
0.427500 0.002500 4.03013170e+00
0.432500 0.002500 4.16942834e+00
0.437500 0.002500 4.25059509e+00
0.442500 0.002500 4.26088040e+00
0.447500 0.002500 4.18997447e+00
0.452500 0.002500 4.03196241e+00
0.457500 0.002500 3.78732432e+00
0.462500 0.002500 3.46460142e+00
0.467500 0.002500 3.08130458e+00
0.472500 0.002500 2.66364299e+00
0.477500 0.002500 2.24481330e+00
0.482500 0.002500 1.86184956e+00
0.487500 0.002500 1.55136977e+00
0.492500 0.002500 1.34484722e+00
0.497500 0.002500 1.26423824e+00
0.502500 0.002500 1.31879939e+00
0.507500 0.002500 1.50370019e+00
0.512500 0.002500 1.80072764e+00
0.517500 0.002500 2.18092356e+00
0.522500 0.002500 2.60862226e+00
0.527500 0.002500 3.04613435e+00
0.532500 0.002500 3.45822164e+00
0.537500 0.002500 3.81568127e+00
0.542500 0.002500 4.09759024e+00
0.547500 0.002500 4.29209398e+00
0.552500 0.002500 4.39591692e+00
0.557500 0.002500 4.41294265e+00
0.562500 0.002500 4.35230499e+00
0.567500 0.002500 4.22637101e+00
0.572500 0.002500 4.04893151e+00
0.577500 0.002500 3.83375535e+00
0.582500 0.002500 3.59357352e+00
0.587500 0.002500 3.33947013e+00
0.592500 0.002500 3.08060669e+00
0.597500 0.002500 2.82420059e+00
0.602500 0.002500 2.57565706e+00
0.607500 0.002500 2.33879731e+00
0.612500 0.002500 2.11612271e+00
0.617500 0.002500 1.90907705e+00
0.622500 0.002500 1.71828762e+00
0.627500 0.002500 1.54377710e+00
0.632500 0.002500 1.38513595e+00
0.637500 0.002500 1.24166232e+00
0.642500 0.002500 1.11246961e+00
0.647500 0.002500 9.96567789e-01
0.652500 0.002500 8.92922743e-01
0.657500 0.002500 8.00498337e-01
0.662500 0.002500 7.18283941e-01
0.667500 0.002500 6.45314393e-01
0.672500 0.002500 5.80680024e-01
0.677500 0.002500 5.23530779e-01
0.682500 0.002500 4.73079986e-01
0.687500 0.002500 4.28602377e-01
0.692500 0.002500 3.89431473e-01
0.697500 0.002500 3.54955630e-01
0.702500 0.002500 3.24615841e-01
0.707500 0.002500 2.97899494e-01
0.712500 0.002500 2.74337573e-01
0.717500 0.002500 2.53500235e-01
0.722500 0.002500 2.34992910e-01
